Dataset,# of images,lack of fusion porosity,gas entrapment porosity,keyhole porosity,other,total annotation instances
G0,89,246,0,0,92,338
G3,38,102,5,0,0,107
G9,30,110,0,25,2,137
H0,84,267,0,7,208,482
H4,79,160,0,5,3,168
H5,84,372,362,0,0,734
H6,104,369,730,86,0,1185
H8,80,281,839,41,0,1161
H9,84,274,443,0,0,717
J0,85,47,0,20,10,77
J1,84,25,0,5,137,167
J3,84,65,0,9,59,133
J4,85,42,0,58,85,185
J7,85,308,355,31,0,694
J8,85,38,0,12,20,70
K0,85,363,287,0,0,650
K4,87,66,321,0,0,387
Q0,84,202,0,7,59,268
Q3,84,32,0,5,83,120
Q5,83,22,0,4,3,29
Q9,85,106,0,3,10,119
R0,86,84,0,149,77,310
R2,69,173,0,7,7,187
R6,84,35,0,101,77,213
R7,85,43,0,5,73,121
